Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
SUV,Extended,Offer3,Employed,Divorced,High School or Below,2,133,638.4,45302,16007.94954
SUV,Basic,Offer1,Disabled,Married,College,2,100,480,21102,11714.78278
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,6,71,340.8,53565,5569.456156
SUV,Premium,Offer1,Unemployed,Single,College,2,165,1452.213743,0,16350.13061
SUV,Extended,Offer3,Employed,Married,Bachelor,2,127,609.6,59797,15261.41386
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,1,66,93.128128,47509,2588.080213
Four-Door Car,Basic,Offer2,Disabled,Married,Master,1,62,297.6,22239,2404.633766
Four-Door Car,Basic,Offer3,Medical Leave,Married,Bachelor,3,61,292.8,14665,4558.428807
Four-Door Car,Basic,Offer2,Employed,Married,College,2,64,268.471802,64801,7582.113842
SUV,Basic,Offer1,Employed,Married,High School or Below,3,101,624.023564,44986,8041.20055
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2,62,245.447622,43817,12302.76244
Four-Door Car,Extended,Offer1,Unemployed,Divorced,Master,1,95,476.903351,0,3370.074728
Four-Door Car,Basic,Offer3,Unemployed,Married,Doctor,1,62,624.711448,0,2326.864833
Four-Door Car,Basic,Offer4,Employed,Married,College,1,74,355.2,36845,2903.024168
Sports Car,Premium,Offer3,Employed,Single,High School or Below,2,144,820.431905,49259,44520.13577
SUV,Extended,Offer1,Employed,Single,Bachelor,2,128,614.4,26486,14754.35923
SUV,Basic,Offer1,Employed,Married,High School or Below,3,114,547.2,56446,9118.148093
SUV,Premium,Offer4,Employed,Married,Doctor,1,194,469.257835,67787,7751.927614
Luxury SUV,Basic,Offer2,Employed,Married,Bachelor,3,194,1067.291208,89464,15415.04407
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,64,307.2,22475,2513.117202
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,3,70,416.2618,31972,5580.916514
SUV,Basic,Offer1,Employed,Married,College,1,118,566.4,58089,4686.469674
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,1,66,316.8,41990,2626.279436
Four-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,2,63,40.622304,0,6961.945557
SUV,Basic,Offer1,Employed,Married,College,1,111,497.126827,84903,4475.424592
SUV,Basic,Offer2,Employed,Married,Bachelor,6,111,314.880326,67137,8176.576796
Sports Car,Extended,Offer1,Employed,Married,Bachelor,4,138,938.513425,21450,10937.1785
Sports Car,Basic,Offer2,Employed,Married,High School or Below,1,119,307.639408,99874,4807.846463
Four-Door Car,Basic,Offer1,Disabled,Single,High School or Below,1,67,482.4,26100,2482.411991
Two-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,3,66,316.8,31275,5205.748188
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,6,67,29.984815,71186,5399.57618
Two-Door Car,Basic,Offer2,Employed,Married,College,2,73,290.70096,91580,8870.673845
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,1,73,30.874869,69417,2842.266905
Four-Door Car,Extended,Offer1,Employed,Married,College,2,76,199.79727,88592,18321.41903
Four-Door Car,Basic,Offer1,Retired,Married,College,2,63,302.4,26806,7019.177186
Four-Door Car,Extended,Offer2,Employed,Single,Bachelor,1,80,384,23656,2926.5223
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,3,73,41.464402,94527,5860.16743
Four-Door Car,Basic,Offer1,Employed,Divorced,Master,2,72,345.6,44096,25253.10198
Sports Car,Premium,Offer2,Employed,Single,College,1,154,739.2,66839,5989.773931
Four-Door Car,Premium,Offer1,Medical Leave,Married,Bachelor,5,119,571.2,18643,9320.240511
Two-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,2,69,460.741097,0,7587.337272
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,3,74,532.8,0,5153.91989
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,4,61,206.810286,58682,4883.805481
Two-Door Car,Premium,Offer1,Employed,Married,Bachelor,2,110,199.851173,87002,26576.31541
Two-Door Car,Premium,Offer1,Unemployed,Single,High School or Below,1,111,799.2,0,3819.619502
Two-Door Car,Basic,Offer2,Employed,Married,Doctor,2,63,142.205246,47725,15119.55539
Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,9,84,114.815893,22244,6686.128629
Two-Door Car,Premium,Offer4,Employed,Single,Master,1,110,44.284642,26245,4271.200049
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,70,336,61085,2764.493659
Luxury Car,Basic,Offer1,Unemployed,Single,Bachelor,1,189,1823.730828,0,6297.002886
SUV,Extended,Offer3,Unemployed,Single,College,1,130,936,0,4620.390087
Sports Car,Basic,Offer2,Employed,Married,College,4,109,400.181882,62464,8658.863813
SUV,Premium,Offer2,Employed,Married,College,2,161,772.8,48367,57520.50151
Four-Door Car,Premium,Offer1,Employed,Single,High School or Below,2,116,556.8,59207,13770.97618
Four-Door Car,Premium,Offer2,Employed,Divorced,Bachelor,1,101,668.773522,75007,3985.547406
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,6,70,336,72874,5630.793
Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,2,88,631.743039,72540,10656.88195
Four-Door Car,Extended,Offer2,Medical Leave,Married,Bachelor,1,93,446.4,19861,3534.337809
SUV,Basic,Offer4,Employed,Married,Master,3,113,766.519022,20290,9079.823377
Four-Door Car,Extended,Offer1,Retired,Single,College,3,86,412.8,13528,6005.847375
SUV,Basic,Offer1,Employed,Married,Bachelor,4,113,542.4,63800,9050.756606
Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,1,73,525.6,0,2467.459952
Four-Door Car,Extended,Offer1,Employed,Married,College,2,87,384.695536,56480,10330.43794
Sports Car,Extended,Offer2,Employed,Married,College,1,136,57.712985,66429,5389.499465
Four-Door Car,Basic,Offer1,Medical Leave,Married,Doctor,1,71,125.510669,16686,2744.172816
Four-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,1,70,65.954813,49648,2755.747968
SUV,Basic,Offer1,Unemployed,Single,High School or Below,6,106,850.593038,0,7516.786075
Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,5,73,350.4,0,4462.997006
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,2,64,401.592109,33906,7579.532717
Four-Door Car,Extended,Offer2,Unemployed,Single,High School or Below,8,93,669.6,0,6722.701247
Two-Door Car,Basic,Offer1,Medical Leave,Single,High School or Below,2,70,75.393383,13164,18061.91837
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,99,707.303416,24204,3864.776795
Two-Door Car,Basic,Offer4,Employed,Married,Doctor,2,72,89.921281,69704,8653.562027
Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,1,76,364.8,78310,3056.990764
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,9,61,40.562432,61613,4825.651946
Four-Door Car,Basic,Offer1,Unemployed,Married,College,2,69,454.3585,0,10369.3874
SUV,Basic,Offer4,Employed,Married,Master,1,111,459.738128,94656,4479.023088
Two-Door Car,Extended,Offer4,Unemployed,Single,College,1,76,547.2,0,2710.918992
Four-Door Car,Basic,Offer2,Employed,Married,Doctor,7,71,259.591385,77221,5789.8509
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,1,63,302.4,99824,2538.857089
Two-Door Car,Basic,Offer3,Employed,Divorced,Doctor,6,73,343.278996,61776,5743.403321
Four-Door Car,Basic,Offer1,Retired,Divorced,Bachelor,3,65,312,17622,4458.113369
Four-Door Car,Basic,Offer1,Employed,Married,Master,2,67,321.6,44320,8044.73072
Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,2,65,425.358596,20497,7785.666532
Two-Door Car,Premium,Offer1,Employed,Married,Bachelor,1,105,588.265049,59038,4236.468669
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,62,7.646763,29486,2457.440923
Four-Door Car,Extended,Offer3,Employed,Married,College,7,82,275.395894,61709,6410.967544
Four-Door Car,Extended,Offer1,Unemployed,Divorced,Master,7,84,403.2,0,6172.392406
SUV,Premium,Offer4,Disabled,Divorced,College,1,165,956.589903,26303,5999.380228
Two-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,1,71,340.8,0,2631.564135
Two-Door Car,Extended,Offer1,Employed,Single,College,3,96,354.530239,61160,7409.083969
Four-Door Car,Basic,Offer4,Unemployed,Married,Bachelor,1,61,437.040616,0,2141.750757
SUV,Basic,Offer1,Retired,Divorced,College,3,106,508.8,21073,7805.31287
Two-Door Car,Basic,Offer4,Unemployed,Single,College,3,71,697.186307,0,4645.839058
SUV,Extended,Offer3,Employed,Divorced,College,1,127,609.6,21385,4953.086407
Two-Door Car,Basic,Offer1,Employed,Married,High School or Below,2,69,222.791933,59597,8267.848845
Four-Door Car,Basic,Offer2,Medical Leave,Single,College,9,63,302.4,22571,4605.036646
Four-Door Car,Basic,Offer3,Employed,Married,College,9,70,336,59782,5626.572446
Two-Door Car,Basic,Offer1,Employed,Married,High School or Below,4,74,98.198664,48278,5932.560456
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,1,62,297.6,27615,2389.980951
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,8,64,326.660051,38928,4988.579794
Two-Door Car,Premium,Offer4,Employed,Divorced,Bachelor,1,119,803.686321,30383,4655.209814
Four-Door Car,Basic,Offer3,Employed,Married,Doctor,1,72,243.598068,44084,2874.074736
Four-Door Car,Basic,Offer1,Employed,Married,Master,3,68,326.4,56005,5479.555081
Sports Car,Basic,Offer1,Employed,Divorced,Bachelor,5,113,695.136477,97745,9043.678095
SUV,Premium,Offer1,Unemployed,Single,Bachelor,2,159,1410.16929,0,15994.008
Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,3,76,364.8,97658,6159.011684
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,8,66,130.697268,66203,5297.918924
SUV,Extended,Offer3,Medical Leave,Married,College,3,124,892.8,15406,9546.81655
Two-Door Car,Premium,Offer1,Employed,Married,College,3,101,484.8,34335,8023.075248
Four-Door Car,Basic,Offer3,Employed,Married,College,2,61,292.8,29491,7347.410517
Two-Door Car,Basic,Offer1,Medical Leave,Married,College,5,71,152.216871,26441,5553.801956
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,71,134.158389,80590,2891.272351
Four-Door Car,Extended,Offer4,Employed,Divorced,Master,4,80,178.371281,21020,6185.337641
Four-Door Car,Extended,Offer1,Unemployed,Married,College,2,86,412.8,0,9006.598402
Sports Car,Basic,Offer1,Unemployed,Single,College,7,113,733.737214,0,7294.492993
SUV,Extended,Offer4,Employed,Single,College,9,125,1224.56345,29504,9656.212573
Four-Door Car,Basic,Offer4,Unemployed,Married,College,2,69,331.2,0,7377.231238
Two-Door Car,Basic,Offer1,Employed,Divorced,Doctor,3,64,229.272206,73740,5124.218174
Luxury SUV,Basic,Offer1,Employed,Single,Bachelor,5,181,868.8,42780,13798.47871
Sports Car,Basic,Offer2,Unemployed,Married,High School or Below,3,119,571.2,0,9048.983447
Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,96,679.392372,26318,3785.754787
Two-Door Car,Extended,Offer1,Retired,Married,High School or Below,7,90,432,21835,6715.59268
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,8,65,41.016038,37874,5258.251562
Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,3,71,340.8,74454,5595.389905
SUV,Premium,Offer1,Unemployed,Single,College,4,146,1051.2,0,9553.415528
Sports Car,Basic,Offer2,Unemployed,Married,High School or Below,3,119,571.2,0,9048.983447
SUV,Basic,Offer1,Unemployed,Single,Bachelor,3,115,987.293841,0,7521.282545
Two-Door Car,Basic,Offer1,Unemployed,Married,College,2,74,426.655599,0,8487.238032
SUV,Basic,Offer3,Unemployed,Married,College,1,119,571.2,0,4025.095533
Two-Door Car,Extended,Offer2,Unemployed,Single,High School or Below,2,89,640.8,0,10004.74874
Sports Car,Basic,Offer1,Employed,Divorced,Bachelor,2,106,508.8,61844,12622.83268
SUV,Basic,Offer2,Medical Leave,Married,College,2,100,1177.323534,16266,11513.35549
Luxury Car,Basic,Offer1,Employed,Married,College,2,187,897.6,80355,22235.01011
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,6,62,567.343266,0,4463.607161
Two-Door Car,Basic,Offer3,Medical Leave,Married,Bachelor,1,67,321.6,12222,2461.797738
Four-Door Car,Premium,Offer1,Disabled,Divorced,Master,1,108,518.4,11621,4059.567414
Luxury Car,Extended,Offer2,Employed,Married,College,2,209,1003.2,21988,41075.42879
Four-Door Car,Basic,Offer2,Employed,Married,College,1,62,208.598246,63860,2472.469209
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,5,72,518.4,0,5121.563312
Four-Door Car,Premium,Offer3,Disabled,Married,College,2,102,500.254235,29879,11727.77648
Two-Door Car,Extended,Offer2,Retired,Married,Bachelor,9,83,398.4,27681,6057.07208
Four-Door Car,Basic,Offer1,Employed,Divorced,Master,2,65,240.186527,36776,7792.067056
Four-Door Car,Premium,Offer2,Employed,Married,Bachelor,1,109,523.2,36692,4276.363627
Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,2,88,152.338562,39102,10481.94383
Four-Door Car,Basic,Offer1,Medical Leave,Married,College,4,63,102.879769,16531,4812.525221
Two-Door Car,Basic,Offer2,Employed,Married,College,1,68,323.246017,99205,2735.538859
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,2,69,69.004181,66037,8209.924674
Two-Door Car,Basic,Offer3,Employed,Married,Bachelor,4,66,243.766542,62470,5325.394799
SUV,Extended,Offer1,Unemployed,Single,College,3,125,600,0,8672.814261
Four-Door Car,Basic,Offer2,Employed,Married,College,4,62,117.998498,52679,4964.63152
Sports Car,Basic,Offer1,Employed,Married,High School or Below,1,119,603.110961,92324,4758.470236
SUV,Basic,Offer1,Employed,Divorced,College,1,118,566.4,39187,4563.018085
Four-Door Car,Premium,Offer4,Employed,Married,High School or Below,2,104,640.584145,27607,28511.03331
Four-Door Car,Basic,Offer4,Employed,Married,College,1,74,5.622751,23333,2974.314896
Four-Door Car,Basic,Offer2,Unemployed,Single,College,2,74,680.753091,0,16236.47626
SUV,Basic,Offer1,Unemployed,Single,Bachelor,1,107,770.4,0,3312.253233
SUV,Basic,Offer1,Unemployed,Married,Bachelor,1,116,765.566699,0,4303.471379
SUV,Basic,Offer1,Employed,Divorced,Bachelor,2,118,232.674417,90844,14134.3474
SUV,Basic,Offer2,Unemployed,Single,Bachelor,1,117,561.6,0,3974.13815
SUV,Basic,Offer1,Unemployed,Single,Bachelor,7,104,499.2,0,7247.313475
Four-Door Car,Extended,Offer2,Employed,Divorced,College,2,89,49.451117,61108,10484.91535
Two-Door Car,Extended,Offer2,Employed,Married,College,5,76,206.709951,70892,6089.77238
Sports Car,Basic,Offer1,Employed,Single,College,1,104,499.2,30061,4061.997378
Four-Door Car,Extended,Offer2,Employed,Married,College,6,77,369.6,34112,6140.242989
Four-Door Car,Premium,Offer1,Unemployed,Single,High School or Below,2,114,820.8,0,11880.96623
Four-Door Car,Premium,Offer2,Employed,Married,High School or Below,9,113,542.4,34337,9035.671134
Four-Door Car,Basic,Offer2,Employed,Married,College,1,66,182.927837,64987,2659.495086
SUV,Basic,Offer3,Employed,Divorced,College,1,114,392.925712,91485,4571.509384
SUV,Basic,Offer2,Employed,Married,College,5,116,556.8,37937,9095.049868
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,2,67,321.6,22862,7937.064822
Four-Door Car,Extended,Offer3,Employed,Married,College,1,79,47.22861,24019,3141.333694
Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,1,73,138.130879,43836,2813.692575
Luxury SUV,Premium,Offer4,Employed,Married,College,2,283,1358.4,77237,56675.93768
Four-Door Car,Premium,Offer3,Unemployed,Single,High School or Below,1,108,912.581597,0,3923.265453
Two-Door Car,Basic,Offer2,Employed,Married,Master,7,70,72.617605,90353,5680.467468
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,2,74,60.090984,97736,8954.840118
SUV,Premium,Offer2,Medical Leave,Married,College,1,150,720,12811,5253.487908
SUV,Basic,Offer2,Employed,Married,College,1,111,313.270725,80640,4408.071476
SUV,Basic,Offer2,Employed,Single,Master,1,107,513.6,29462,4170.687348
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,2,93,310.36774,88858,11255.46343
Sports Car,Basic,Offer3,Employed,Married,Bachelor,1,106,441.907057,44537,4247.683347
Two-Door Car,Extended,Offer2,Unemployed,Married,High School or Below,7,92,428.064465,0,6900.951275
Luxury SUV,Basic,Offer2,Unemployed,Married,Bachelor,1,191,1317.008182,0,6847.588918
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,74,84.494022,71663,20998.25947
Two-Door Car,Extended,Offer1,Unemployed,Single,College,1,91,655.2,0,3297.904615
Four-Door Car,Basic,Offer1,Medical Leave,Married,Bachelor,1,65,724.463534,19352,2467.620791
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,1,72,345.6,0,2558.178159
SUV,Basic,Offer1,Employed,Married,High School or Below,1,110,303.872752,58577,4428.031583
Luxury Car,Basic,Offer3,Employed,Single,Bachelor,1,187,896.436023,74335,7372.230729
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,65,312,99841,2632.552578
Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,9,64,607.733606,0,4758.564558
Four-Door Car,Extended,Offer2,Medical Leave,Married,High School or Below,1,77,369.6,12048,2910.317298
SUV,Basic,Offer2,Employed,Married,High School or Below,3,100,844.229478,29066,7998.143771
Four-Door Car,Basic,Offer1,Retired,Single,Bachelor,1,63,347.857619,24910,2248.449633
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,2,99,425.527151,55805,12045.67286
SUV,Premium,Offer2,Unemployed,Single,Bachelor,2,180,1296,0,15481.25277
SUV,Basic,Offer1,Employed,Married,College,3,102,369.614729,50825,8092.87696
SUV,Extended,Offer4,Employed,Married,Bachelor,1,131,628.8,26877,5149.301306
Four-Door Car,Extended,Offer3,Employed,Married,College,9,96,204.953947,54878,7381.914168
Four-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,2,82,590.4,0,8276.44416
Four-Door Car,Basic,Offer1,Employed,Married,Master,4,63,205.043307,33566,5004.583872
SUV,Basic,Offer1,Medical Leave,Married,Master,9,109,132.588288,17780,8375.353929
SUV,Basic,Offer1,Employed,Single,College,4,112,1169.409787,53173,8736.501241
SUV,Basic,Offer1,Employed,Single,Master,2,119,571.2,66661,42561.63183
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,3,76,214.586742,74257,6098.462114
SUV,Basic,Offer1,Employed,Married,High School or Below,1,119,112.268583,54194,4779.893422
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,61,114.273025,95697,2471.528431
Luxury SUV,Basic,Offer3,Employed,Married,Bachelor,1,184,587.37679,33811,7221.151702
Four-Door Car,Basic,Offer3,Employed,Married,College,5,61,120.850664,72648,4871.15057
Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,3,62,690.548602,0,4628.280887
Sports Car,Extended,Offer2,Employed,Single,College,1,137,708.220713,58357,5350.367001
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,2,65,254.223496,42862,23435.72605
Two-Door Car,Basic,Offer3,Employed,Divorced,Doctor,1,73,211.336937,83318,2957.764017
Luxury SUV,Basic,Offer2,Employed,Married,College,5,185,75.698305,22012,14472.583
Two-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2,65,468,0,6305.925101
SUV,Basic,Offer1,Employed,Married,College,1,117,561.6,53219,4673.196379
SUV,Basic,Offer1,Unemployed,Single,Bachelor,1,108,777.6,0,3823.853815
SUV,Extended,Offer4,Employed,Married,College,1,128,614.4,33169,5126.54272
Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,6,67,249.085887,85702,5441.42013
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,66,138.729702,24914,2615.304467
Two-Door Car,Basic,Offer3,Unemployed,Single,Bachelor,2,73,350.4,0,20766.66918
Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,5,66,700.331425,0,4838.877084
Sports Car,Basic,Offer2,Employed,Single,High School or Below,2,105,459.895876,40602,12383.5306
Four-Door Car,Extended,Offer2,Unemployed,Married,High School or Below,2,82,588.269018,0,21172.38983
Four-Door Car,Extended,Offer1,Medical Leave,Married,Master,7,98,136.248799,19064,7403.447336
SUV,Extended,Offer1,Unemployed,Divorced,Bachelor,8,129,628.366119,0,9435.540893
Two-Door Car,Extended,Offer2,Employed,Married,College,1,94,451.2,94903,3808.122147
Four-Door Car,Basic,Offer3,Employed,Divorced,College,5,71,17.484679,50097,5531.723723
Luxury SUV,Basic,Offer1,Medical Leave,Divorced,Bachelor,2,198,950.4,17130,28432.00202
SUV,Basic,Offer1,Disabled,Married,High School or Below,8,112,806.4,16994,8783.165364
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,1,70,336,30703,2814.438036
Two-Door Car,Basic,Offer1,Employed,Single,Bachelor,3,71,15.169017,70190,5577.942343
SUV,Basic,Offer1,Unemployed,Single,High School or Below,4,115,552,0,8460.80939
Four-Door Car,Extended,Offer2,Employed,Married,College,8,76,377.350433,22946,5980.846151
Four-Door Car,Basic,Offer1,Disabled,Divorced,Master,2,74,523.888845,26057,8509.850887
Two-Door Car,Basic,Offer4,Employed,Single,High School or Below,2,70,46.053458,45270,8161.781091
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,71,791.878042,25998,8382.478392
Four-Door Car,Basic,Offer2,Employed,Married,College,2,61,292.8,20495,12128.36511
SUV,Basic,Offer3,Employed,Married,High School or Below,1,106,508.8,30598,4198.02525
